userID movieID tagID
75 353 5290
78 4223 5264
127 1343 1544
127 1343 12330
127 2080 1451
127 2080 1574
127 2953 4121
127 2953 11860
127 4270 914
127 4270 5215
127 4447 7
127 4447 1996
127 4447 2571
127 5679 742
127 6934 1537
127 6934 1538
127 6934 9062
127 7147 146
127 7147 150
127 7147 1878
127 7147 2596
127 7147 13087
127 8622 55
127 8622 11371
127 8622 13086
170 47830 93
175 2819 11407
175 51540 79
190 741 712
190 1274 712
190 2116 410
190 2810 712
190 3000 712
190 3997 410
190 4993 410
190 5039 410
190 5069 712
190 5072 712
190 5146 712
190 5618 712
190 5690 712
190 5952 410
190 5971 712
190 6283 712
190 6350 712
190 6857 712
190 7099 712
190 7153 410
190 8607 712
190 26662 712
190 27728 712
190 31184 712
190 31658 712
190 31660 712
267 6365 186
325 628 6331
325 30818 5074
325 34162 6333
325 45720 6333
325 51084 876
383 6270 280
383 6270 669
383 27741 7181
383 45175 753
476 1136 1181
477 1188 5609
477 1188 5610
477 1267 5588
477 1267 5593
477 1274 5611
477 1597 5599
477 1608 5597
477 1690 5031
477 1918 5582
477 2023 5583
477 2023 5590
477 2947 5595
477 3755 5581
477 3755 5591
477 4262 5586
477 4310 5603
477 5618 5608
477 5679 5580
477 6934 5584
477 7147 5598
477 7147 5602
477 8977 5596
477 32587 5601
477 32587 5612
477 48774 5585
477 54001 5589
493 3683 289
498 1244 5879
498 1297 615
498 1297 1510
498 1297 5875
498 1297 5877
498 1297 5883
498 3814 61
498 3814 701
498 3814 5872
498 3814 5880
498 3814 5884
498 4848 4936
498 4848 4989
498 5618 5876
498 6346 1858
498 6346 4568
498 6346 5873
498 6346 5874
498 6346 5881
498 6346 5882
498 6378 104
498 6378 5878
533 1950 51
533 7566 51
533 27834 51
533 33154 51
533 44555 48
533 44937 51
533 45210 51
533 48043 48
533 49132 51
533 51077 49
533 51077 50
545 2797 368
548 296 371
580 370 594
580 3623 591
580 7153 592
580 48322 593
622 32 13
622 32 754
622 32 1184
622 47 54
622 47 754
622 165 74
622 165 371
622 165 1184
622 231 195
622 231 364
622 231 10541
622 377 472
622 377 3137
622 442 24
622 442 480
622 442 2621
622 593 1188
622 628 53
622 628 97
622 628 473
622 780 74
622 780 167
622 780 1194
622 780 5209
622 1073 605
622 1073 1061
622 1073 5487
622 1101 148
622 1101 191
622 1206 1459
622 1206 5135
622 1208 64
622 1208 193
622 1208 238
622 1208 459
622 1208 473
622 1208 605
622 1208 1065
622 1208 14496
622 1210 145
622 1210 146
622 1210 366
622 1240 13
622 1240 366
622 1240 1186
622 1391 337
622 1391 1470
622 1391 5209
622 1527 1184
622 1653 24
622 1653 197
622 1653 366
622 1653 2399
622 1704 770
622 1704 14318
622 1704 15538
622 1961 219
622 1961 247
622 1961 1545
622 2762 80
622 2762 502
622 2762 1184
622 2858 99
622 2858 232
622 2959 97
622 4963 770
622 5630 1188
622 5989 382
622 5989 1064
622 6250 184
622 6250 586
622 6250 5209
622 6753 586
622 6753 1459
622 8132 583
622 8132 13597
622 32587 7009
622 36529 418
622 39444 50
622 44191 586
622 44191 1459
622 44191 4698
622 44665 502
622 44665 541
622 44665 1184
622 47610 502
622 47610 1610
622 48043 586
622 48043 619
622 48043 1459
622 48043 15573
622 48043 15575
622 51931 586
622 51931 717
622 51931 1459
622 53129 2585
622 53129 13237
622 54745 398
622 54745 1328
622 54745 1358
622 55872 586
622 55872 1459
622 55872 4698
622 55908 1459
622 55908 4698
622 56171 15574
622 56171 15576
622 58025 371
622 58078 586
622 58078 717
622 58078 1459
622 58078 4698
622 58078 8126
622 58078 12650
622 58972 2732
622 58972 4167
622 59615 2585
622 59900 4861
622 60072 746
622 60072 2341
622 60072 2585
622 60074 1194
622 60074 2585
636 1223 1727
636 1223 11005
636 1223 11023
636 1223 11029
636 1223 11157
636 1223 13141
636 1233 1761
636 1233 7205
636 1233 15972
636 1876 1259
636 1876 13141
636 1876 15970
636 1876 15975
636 1876 15976
636 2993 485
636 2993 2611
636 2993 7808
636 2993 15974
636 4993 412
637 4886 15968
728 26 1320
728 419 14146
728 2409 3
728 2409 226
728 2409 14143
728 2412 3
728 2412 226
728 2863 328
728 3668 1320
728 3979 4861
728 6016 69
728 6016 623
728 6016 10859
728 8361 535
728 8957 14145
728 41569 8191
728 41569 14144
728 45722 59
728 45722 136
732 4187 6255
783 3623 3014
788 3617 1511
788 3617 8629
788 3617 14662
788 3617 14673
788 3916 916
788 3916 13840
788 3916 14665
788 3916 14674
788 3916 14675
788 4270 459
788 4270 914
788 5414 5707
788 5414 11998
788 5414 14656
788 5414 14669
788 5955 1010
788 5955 7803
788 5955 14664
788 5955 14665
788 5955 14668
788 5955 14671
788 5955 14679
788 6010 12299
788 6010 14663
788 6010 14672
788 6010 14677
788 8622 14659
788 42418 498
788 42418 971
788 42418 1622
788 42418 2100
788 42418 12103
788 42418 14652
788 42418 14657
788 42418 14658
788 42418 14661
788 42418 14666
788 43419 12115
788 43419 14653
788 43419 14676
788 53953 2566
788 53953 14660
788 53953 14667
894 296 312
922 508 219
922 508 554
922 1091 7
922 1091 55
922 6373 55
937 10 485
1017 2947 485
1017 2947 7444
1017 4246 415
1017 4246 7815
1017 4310 169
1017 32587 16043
1035 6934 3020
1035 6934 7167
1035 32587 312
1035 32587 4635
1047 3424 2871
1117 50 502
1117 508 554
1117 508 2629
1117 930 330
1117 1225 328
1117 1225 633
1117 4979 752
1117 38886 752
1117 46578 1460
1117 46578 1738
1118 4011 578
1118 4011 754
1118 4963 104
1118 56788 710
1118 57669 8561
1122 837 672
1122 3466 605
1122 3466 1472
1122 3466 12361
1122 5225 2848
1160 59900 4861
1164 2858 1582
1164 8014 2244
1164 8014 11086
1164 46578 396
1164 46578 1782
1164 46578 4212
1164 46578 5323
1164 46578 15528
1174 44399 25
1174 44399 1472
1198 3717 14984
1224 349 1852
1224 762 14104
1224 1101 14101
1224 1374 2990
1224 1376 14106
1224 1385 14099
1224 1610 1852
1224 1610 14101
1224 1610 14103
1224 1610 14107
1224 2561 14102
1224 2948 2990
1224 3256 1852
1224 4814 14102
1224 4958 14100
1224 5033 778
1224 5400 1852
1224 5418 6170
1224 8337 14098
1224 8665 6170
1224 8689 14102
1224 8772 778
1224 36517 778
1224 44949 14104
1224 54286 6170
1225 1132 399
1225 1132 1911
1225 1209 14095
1225 1729 14096
1225 2662 14097
1225 2947 618
1267 2872 1942
1278 46850 13825
1278 51662 13826
1282 14 13733
1282 261 13746
1282 372 10574
1282 914 13732
1282 1120 13742
1282 1179 53
1282 1179 2939
1282 1188 13731
1282 1242 13749
1282 1267 13745
1282 1302 13734
1282 1377 13747
1282 1729 13736
1282 1747 13513
1282 1953 5893
1282 1953 13738
1282 2336 7675
1282 2424 13739
1282 2701 13730
1282 2947 5373
1282 3081 13735
1282 3101 13743
1282 3785 13744
1282 3911 13741
1282 6934 13740
1355 14 1188
1355 1120 2707
1355 1179 1558
1355 1179 9886
1355 1231 11019
1355 1339 1287
1355 1953 53
1355 1953 538
1355 1953 2733
1355 1994 57
1355 1994 2753
1355 2080 413
1355 2080 900
1355 3785 944
1355 32587 53
1355 32587 449
1392 7147 337
1392 8950 208
1392 8950 252
1392 8950 611
1392 8950 699
1436 247 2742
1436 838 9889
1436 1953 9890
1436 1994 1595
1436 2391 880
1436 2478 55
1436 3967 2742
1436 4310 8182
1436 4447 55
1436 4848 99
1436 6378 74
1496 293 634
1496 293 1541
1496 54286 110
1496 54286 634
1496 54286 6170
1496 54286 8321
1504 468 4577
1504 468 7834
1504 3248 871
1504 3786 34
1504 5377 1255
1504 5377 7835
1504 30816 1065
1510 26 1320
1510 1411 1320
1510 3409 2572
1510 3598 1320
1510 3723 1320
1510 4745 1061
1510 4745 1320
1510 6058 2572
1510 43679 2572
